image,px,py
00_002293.jpg,213.08208847045898,192.12065315246582
00_002295.jpg,214.1590919494629,191.64378929138184
00_002296.jpg,214.68026161193848,192.58154678344727
00_002297.jpg,214.36895942687988,192.6158390045166
00_002298.jpg,214.51411819458008,192.57517051696777
00_002299.jpg,214.38533210754395,192.23500633239746
00_002300.jpg,214.5854721069336,192.71139907836914
00_002301.jpg,214.62061882019043,192.6258087158203
00_002302.jpg,214.62108993530273,192.58813667297363
00_002303.jpg,214.66463661193848,192.64228439331055
00_002304.jpg,214.41461372375488,192.6707534790039
00_002305.jpg,214.4273452758789,192.37381744384766
00_002306.jpg,214.48158073425293,192.66204833984375
00_002307.jpg,214.54354667663574,192.64738845825195
00_002308.jpg,214.51597213745117,192.85637855529785
00_002309.jpg,214.42262077331543,192.9146556854248
00_002310.jpg,214.6456127166748,193.00445365905762
00_002311.jpg,214.2890853881836,192.84776306152344
00_002312.jpg,213.96671676635742,192.6382884979248
00_002313.jpg,214.0009880065918,192.98536491394043
01_002318.jpg,212.50611877441406,193.40206718444824
01_002319.jpg,212.48924446105957,193.29032707214355
01_002320.jpg,212.98372840881348,193.13036727905273
01_002321.jpg,212.80395317077637,193.4886016845703
01_002322.jpg,212.7294807434082,193.22264671325684
01_002323.jpg,212.8988971710205,193.26203727722168
01_002324.jpg,212.8578338623047,193.18276405334473
01_002325.jpg,213.15383338928223,193.62406158447266
01_002326.jpg,213.13516998291016,194.19894409179688
01_002327.jpg,213.47480964660645,194.6506576538086
01_002328.jpg,213.13312149047852,193.26264190673828
01_002329.jpg,212.90056610107422,194.17498779296875
01_002331.jpg,213.29565048217773,194.05808639526367
01_002333.jpg,213.69543266296387,194.21234130859375
01_002334.jpg,213.9499397277832,195.2710838317871
01_002335.jpg,213.23027420043945,194.29769897460938
01_002336.jpg,212.94979858398438,193.3533878326416
01_002339.jpg,212.72593307495117,193.8681125640869
02_002343.jpg,211.6169891357422,194.36431503295898
02_002344.jpg,211.714111328125,195.3091697692871
02_002345.jpg,211.44894409179688,194.63576889038086
02_002346.jpg,211.31452178955078,194.2569580078125
02_002348.jpg,211.83086585998535,194.48165130615234
02_002349.jpg,211.78217315673828,194.57594299316406
02_002350.jpg,211.618745803833,194.496919631958
02_002351.jpg,211.55186080932617,194.2309226989746
02_002352.jpg,211.63037300109863,194.2502841949463
02_002353.jpg,211.72995948791504,194.6463966369629
02_002354.jpg,211.29470443725586,194.58338737487793
02_002355.jpg,211.2766342163086,194.2820873260498
02_002356.jpg,211.43988037109375,194.18539428710938
02_002357.jpg,211.82830429077148,194.4476261138916
02_002358.jpg,211.74404335021973,194.92667770385742
